"holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","pp_s7q01","pp_s7q02","pp_s7q03","pp_s7q04","pp_s7q05","pp_s7q06","pp_s7q07","pp_s7q08","pp_s7q09","pp_s7q10_a","pp_s7q10_b","pp_s7q11","pp_s7q12","pp_s7q13","pp_s7q14","pp_s7q15","pp_s7q16"
"0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,1,3,18,4,145,1,1,1,,1,,1,,1,,1,,2,,50,21,18,
"0101050020400101","01010500204001","01010500204",1,3071.13232421875,1,1,5,2,4,1,1,1,1,,1,,2,2,1,,2,,2,,100,100,,
"0101050020402501","01010500204025","01010500204",1,3071.13232421875,1,1,5,2,4,25,1,1,2,3,2,1,1,,1,,5,,3,,,,,
"0101050020404901","01010500204049","01010500204",1,3071.13232421875,1,1,5,2,4,49,1,1,1,,1,,1,,1,,2,,2,,150,150,,
"0101050020407301","01010500204073","01010500204",1,3071.13232421875,1,1,5,2,4,73,1,1,1,,1,,1,,1,,1,,3,,100,100,,
"0101050020409701","01010500204097","01010500204",1,3071.13232421875,1,1,5,2,4,97,1,1,1,,1,,1,,1,,1,,4,,75,50,25,
"0101050020412101","01010500204121","01010500204",1,3071.13232421875,1,1,5,2,4,121,1,1,1,,1,,1,,1,,1,,4,,100,50,50,
"0101050020414501","01010500204145","01010500204",1,3071.13232421875,1,1,5,2,4,145,1,1,1,,1,,1,,1,,2,,1,2,100,100,,
"0101050020416901","01010500204169","01010500204",1,3071.13232421875,1,1,5,2,4,169,1,1,1,,1,,1,,1,,2,,2,,75,75,,
"0101050020419301","01010500204193","01010500204",1,3071.13232421875,1,1,5,2,4,193,1,1,1,,1,,1,,1,,2,,2,,100,100,,
"0101050020421701","01010500204217","01010500204",1,3071.13232421875,1,1,5,2,4,217,1,1,1,,1,,1,,1,,2,,2,,50,50,,
"0101060040200201","01010600402002","01010600402",1,3720.59497070313,1,1,6,4,2,2,1,1,1,,1,,1,,1,,1,,4,,50,25,25,50
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,1,1,6,4,2,21,1,1,1,,1,,1,,1,,1,,2,,50,25,25,
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,1,1,6,4,2,39,1,1,1,,1,,1,,1,,1,,2,,50,25,25,
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,1,1,6,4,2,57,1,1,2,6,2,3,1,,1,,5,,2,,0,,,
"0101060040207501","01010600402075","01010600402",1,3720.59497070313,1,1,6,4,2,75,1,1,2,1,2,3,1,,1,,5,,1,,0,,,
"0101060040209401","01010600402094","01010600402",1,3720.59497070313,1,1,6,4,2,94,1,1,2,6,2,1,2,2,2,3,5,,2,,0,,,
"0101060040211201","01010600402112","01010600402",1,3720.59497070313,1,1,6,4,2,112,1,1,1,,1,,1,,1,,1,,1,2,50,,50,
"0101060040213001","01010600402130","01010600402",1,3720.59497070313,1,1,6,4,2,130,1,1,1,,1,,1,,1,,1,,4,,100,50,50,0
"0101060040214801","01010600402148","01010600402",1,3720.59497070313,1,1,6,4,2,148,1,1,2,7,2,1,2,2,1,,5,,1,2,0,,,
"0101060040216701","01010600402167","01010600402",1,3720.59497070313,1,1,6,4,2,167,1,1,2,3,2,2,2,2,1,,5,,2,,,,,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,1,2,1,2,7,2,1,1,1,,2,6,2,6,2,2,2,,0,6,50,50,0,
"0102010020701201","01020100207012","01020100207",1,2697.60473632813,1,2,1,2,7,12,1,1,2,3,1,,2,2,1,,5,,0,1,,,,
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,1,2,1,2,7,17,1,1,1,,1,,1,,1,,2,,2,,50,50,,
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,1,2,1,2,7,27,1,1,1,,1,,1,,1,,2,,0,6,25,25,0,
"0102010020703201","01020100207032","01020100207",1,2697.60473632813,1,2,1,2,7,32,1,1,1,,2,5,2,6,1,,5,,0,6,34,,,3
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,1,2,1,2,7,47,1,1,2,7,2,1,2,6,2,2,5,,2,,,,,
"0102010020706201","01020100207062","01020100207",1,2697.60473632813,1,2,1,2,7,62,1,1,2,2,2,2,2,2,2,5,5,,0,6,,,,
"0102010020707701","01020100207077","01020100207",1,2697.60473632813,1,2,1,2,7,77,1,1,1,,2,2,2,6,1,,2,,0,2,50,50,,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,1,2,1,2,7,92,1,1,2,7,1,,2,3,1,,5,,2,,,,,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,1,2,1,2,7,107,1,1,1,,1,,1,,1,,2,,1,6,50,50,,
"0102010020712201","01020100207122","01020100207",1,2697.60473632813,1,2,1,2,7,122,1,1,1,,2,5,2,6,1,,2,,1,2,12,12,,
"0102010020713701","01020100207137","01020100207",1,2697.60473632813,1,2,1,2,7,137,1,1,2,7,2,5,2,6,1,,5,,1,2,,,,
"0102020080200201","01020200802002","01020200802",1,3456.86206054688,1,2,2,8,2,2,1,1,1,,1,,1,,1,,4,,1,6,25,13,13,
"0102020080201701","01020200802017","01020200802",1,3456.86206054688,1,2,2,8,2,17,1,1,1,,1,,1,,1,,4,,2,,100,50,50,
"0102020080202801","01020200802028","01020200802",1,3456.86206054688,1,2,2,8,2,28,1,1,1,,1,,1,,1,,4,,2,,60,25,25,10
"0102020080203301","01020200802033","01020200802",1,3456.86206054688,1,2,2,8,2,33,1,1,1,,1,,1,,1,,4,,2,,50,25,25,
"0102020080204801","01020200802048","01020200802",1,3456.86206054688,1,2,2,8,2,48,1,1,1,,1,,1,,1,,4,,1,2,50,25,25,
"0102020080206301","01020200802063","01020200802",1,3456.86206054688,1,2,2,8,2,63,1,1,1,,1,,1,,1,,4,,2,,100,50,50,
"0102020080207801","01020200802078","01020200802",1,3456.86206054688,1,2,2,8,2,78,1,1,1,,1,,1,,1,,4,,2,,200,100,100,
"0102020080210801","01020200802108","01020200802",1,3456.86206054688,1,2,2,8,2,108,1,1,1,,1,,1,,1,,4,,,,100,50,50,
"0102020080212401","01020200802124","01020200802",1,3456.86206054688,1,2,2,8,2,124,1,1,1,,1,,1,,1,,4,,2,,100,50,50,
"0102020080213901","01020200802139","01020200802",1,3456.86206054688,1,2,2,8,2,139,1,1,1,,1,,1,,1,,4,,,6,6250,3250,3,
"0102030100100201","01020301001002","01020301001",1,3416.8232421875,1,2,3,10,1,2,1,1,2,3,2,2,2,2,1,,5,,1,2,,,,
"0102030100101701","01020301001017","01020301001",1,3416.8232421875,1,2,3,10,1,17,1,1,2,2,2,5,2,2,1,,5,,0,6,,,,
"0102030100103201","01020301001032","01020301001",1,3416.8232421875,1,2,3,10,1,32,1,1,2,3,2,6,2,2,2,5,5,,0,6,,,,
"0102030100104701","01020301001047","01020301001",1,3416.8232421875,1,2,3,10,1,47,1,1,1,,2,2,2,2,2,2,3,,1,2,25,12,12,
"0102030100106201","01020301001062","01020301001",1,3416.8232421875,1,2,3,10,1,62,1,1,1,,1,,1,,1,,1,,1,2,100,50,50,
"0102030100108001","01020301001080","01020301001",1,3416.8232421875,1,2,3,10,1,80,1,2,2,7,2,5,2,2,1,,5,,0,,,,,
"0102030100109501","01020301001095","01020301001",1,3416.8232421875,1,2,3,10,1,95,1,1,2,2,2,5,2,2,1,,5,,0,6,,,,
"0102030100111101","01020301001111","01020301001",1,3416.8232421875,1,2,3,10,1,111,1,1,1,,1,,1,,1,,1,,1,2,50,25,25,
"0102030100112801","01020301001128","01020301001",1,3416.8232421875,1,2,3,10,1,128,1,1,1,,1,,2,2,1,,3,,1,2,50,25,25,0
"0102030100114501","01020301001145","01020301001",1,3416.8232421875,1,2,3,10,1,145,1,1,1,,1,,2,6,1,,4,,3,,100,50,50,
"0102040170200201","01020401702002","01020401702",1,4736.44140625,1,2,4,17,2,2,1,1,1,,2,2,2,2,1,,1,,2,,,,,
"0102040170201801","01020401702018","01020401702",1,4736.44140625,1,2,4,17,2,18,1,1,1,,1,,1,,1,,,,1,2,50,25,25,0
"0102040170203301","01020401702033","01020401702",1,4736.44140625,1,2,4,17,2,33,1,1,1,,,,1,,1,,,,,,,,,
"0102040170204801","01020401702048","01020401702",1,4736.44140625,1,2,4,17,2,48,1,1,1,,2,2,1,,1,,1,,,,,,,
"0102040170206301","01020401702063","01020401702",1,4736.44140625,1,2,4,17,2,63,1,1,1,,2,5,1,,1,,1,,1,2,50,25,25,0
"0102040170207801","01020401702078","01020401702",1,4736.44140625,1,2,4,17,2,78,1,1,1,,2,2,1,,1,,1,,2,,50,25,25,0
"0102040170209301","01020401702093","01020401702",1,4736.44140625,1,2,4,17,2,93,1,1,1,,2,2,1,,1,,1,,2,,50,25,25,0
"0102040170210801","01020401702108","01020401702",1,4736.44140625,1,2,4,17,2,108,1,1,1,,2,2,1,,1,,1,,2,,50,25,25,0
"0102040170212301","01020401702123","01020401702",1,4736.44140625,1,2,4,17,2,123,1,,,,,,,,,,,,,,,,,
"0102040170213801","01020401702138","01020401702",1,4736.44140625,1,2,4,17,2,138,1,1,1,,2,6,1,,1,,1,,2,,50,25,25,0
"0102060130100201","01020601301002","01020601301",1,3223.05908203125,1,2,6,13,1,2,1,2,2,7,2,6,1,,1,,,,0,7,,,,
"0102060130101801","01020601301018","01020601301",1,3223.05908203125,1,2,6,13,1,18,1,1,1,,1,,1,,1,,1,,0,7,21,6,15,21
"0102060130103301","01020601301033","01020601301",1,3223.05908203125,1,2,6,13,1,33,1,1,1,,1,,1,,1,,1,,1,2,86,43,43,86
"0102060130105001","01020601301050","01020601301",1,3223.05908203125,1,2,6,13,1,50,1,1,1,,1,,1,,1,,1,,1,7,142,71,71,142
"0102060130106601","01020601301066","01020601301",1,3223.05908203125,1,2,6,13,1,66,1,1,1,,1,,1,,1,,1,,1,2,54,27,27,54
"0102060130108101","01020601301081","01020601301",1,3223.05908203125,1,2,6,13,1,81,1,1,1,,1,,1,,1,,1,,0,1,,,,
"0102060130109701","01020601301097","01020601301",1,3223.05908203125,1,2,6,13,1,97,1,1,1,,1,,1,,1,,4,,2,,74,37,37,74
"0102060130111201","01020601301112","01020601301",1,3223.05908203125,1,2,6,13,1,112,1,2,1,,1,,1,,1,,1,,0,1,24,12,12,24
"0102060130113401","01020601301134","01020601301",1,3223.05908203125,1,2,6,13,1,134,1,1,1,,1,,1,,1,,1,,0,1,16,8,8,16
"0102060130116201","01020601301162","01020601301",1,3223.05908203125,1,2,6,13,1,162,1,1,1,,1,,1,,1,,1,,2,,90,45,45,90
"0102070010102701","01020700101027","01020700101",0,1273.43322753906,1,2,7,1,1,27,1,1,1,,2,5,1,,1,,4,,0,1,50,25,25,
"0102070010105701","01020700101057","01020700101",0,1273.43322753906,1,2,7,1,1,57,1,,,,,,1,,1,,,,,,,,,
"0102070010111701","01020700101117","01020700101",0,1273.43322753906,1,2,7,1,1,117,1,1,2,7,2,2,2,2,2,1,5,,0,1,0,,,
"0102070010123701","01020700101237","01020700101",0,1273.43322753906,1,2,7,1,1,237,1,1,1,,1,,1,,1,,4,,0,1,50,25,25,
"0102070010129701","01020700101297","01020700101",0,1273.43322753906,1,2,7,1,1,297,1,,,,,,1,,2,2,,,,,,,,
"0102070010135701","01020700101357","01020700101",0,1273.43322753906,1,2,7,1,1,357,1,2,2,4,2,5,2,6,2,5,5,,0,5,0,,,
"0102080060300401","01020800603004","01020800603",1,2945.6552734375,1,2,8,6,3,4,1,1,1,,2,3,1,,1,,3,,2,,25,13,13,
"0102080060301901","01020800603019","01020800603",1,2945.6552734375,1,2,8,6,3,19,1,1,1,,2,3,1,,1,,1,,0,1,50,25,25,
"0102080060302901","01020800603029","01020800603",1,2945.6552734375,1,2,8,6,3,29,1,1,1,,2,3,1,,1,,1,,2,,25,13,13,
"0102080060303401","01020800603034","01020800603",1,2945.6552734375,1,2,8,6,3,34,1,1,2,7,2,3,1,,2,3,5,,2,,,,,
"0102080060304901","01020800603049","01020800603",1,2945.6552734375,1,2,8,6,3,49,1,1,1,,2,3,1,,1,,1,,3,,25,13,13,
"0102080060306401","01020800603064","01020800603",1,2945.6552734375,1,2,8,6,3,64,1,1,1,,2,3,1,,1,,1,,,1,50,25,25,
"0102080060307901","01020800603079","01020800603",1,2945.6552734375,1,2,8,6,3,79,1,1,1,,2,3,1,,1,,3,,2,,20,10,10,
"0102080060309401","01020800603094","01020800603",1,2945.6552734375,1,2,8,6,3,94,1,1,1,,2,3,1,,1,,1,,,2,50,25,25,
"0102080060310901","01020800603109","01020800603",1,2945.6552734375,1,2,8,6,3,109,1,1,2,2,2,3,1,,1,,5,,,6,,,,
"0102080060312401","01020800603124","01020800603",1,2945.6552734375,1,2,8,6,3,124,1,1,1,,2,3,1,,1,,1,,2,,50,25,25,
"0102080060314001","01020800603140","01020800603",1,2945.6552734375,1,2,8,6,3,140,1,1,1,,2,3,1,,1,,1,,1,2,25,13,13,
"0102090060200601","01020900602006","01020900602",1,4160.09130859375,1,2,9,6,2,6,1,1,2,2,2,6,2,2,1,,1,1,1,2,,,,
"0102090060202401","01020900602024","01020900602",1,4160.09130859375,1,2,9,6,2,24,1,1,1,,1,,2,2,1,,1,,2,,38,19,19,
"0102090060204301","01020900602043","01020900602",1,4160.09130859375,1,2,9,6,2,43,1,2,2,2,1,,2,2,1,,1,,2,,,,,
"0102090060206301","01020900602063","01020900602",1,4160.09130859375,1,2,9,6,2,63,1,1,1,,1,,2,,1,,1,,1,2,80,40,40,
"0102090060208301","01020900602083","01020900602",1,4160.09130859375,1,2,9,6,2,83,1,1,1,,1,,2,,1,,1,,2,,37,18,18,
"0102090060210401","01020900602104","01020900602",1,4160.09130859375,1,2,9,6,2,104,1,1,1,,1,,2,2,1,,1,,,1,75,38,38,
"0102090060212301","01020900602123","01020900602",1,4160.09130859375,1,2,9,6,2,123,1,1,2,2,1,,2,2,1,,1,,2,,,,,
"0102090060214201","01020900602142","01020900602",1,4160.09130859375,1,2,9,6,2,142,1,1,2,2,2,6,2,2,2,5,1,,0,6,,,,
"0102090060216201","01020900602162","01020900602",1,4160.09130859375,1,2,9,6,2,162,1,1,2,2,1,,2,2,1,,1,,0,1,,,,
"0102090060216202","01020900602162","01020900602",1,4160.09130859375,1,2,9,6,2,162,2,1,1,,1,,2,2,1,,1,,1,2,75,38,38,
"0102090060218201","01020900602182","01020900602",1,4160.09130859375,1,2,9,6,2,182,1,1,2,2,2,6,2,2,1,,1,,,6,,,,
"0103010020400301","01030100204003","01030100204",1,1425.53918457031,1,3,1,2,4,3,1,1,2,7,2,5,1,,1,,,,0,6,,,,
"0103010020401201","01030100204012","01030100204",1,1425.53918457031,1,3,1,2,4,12,1,2,1,,1,,2,2,1,,1,,0,6,0,3,0,3
"0103010020402301","01030100204023","01030100204",1,1425.53918457031,1,3,1,2,4,23,1,1,1,,1,,1,,1,,1,,1,2,0,24,12,36
"0103010020403201","01030100204032","01030100204",1,1425.53918457031,1,3,1,2,4,32,1,2,2,7,2,1,1,,1,,,,0,7,,,,
"0103010020404701","01030100204047","01030100204",1,1425.53918457031,1,3,1,2,4,47,1,2,2,7,2,6,2,5,1,,,,0,7,,,,
"0103010020409101","01030100204091","01030100204",1,1425.53918457031,1,3,1,2,4,91,1,1,2,6,2,5,2,5,2,2,,,0,5,,,,
"0103010020412901","01030100204129","01030100204",1,1425.53918457031,1,3,1,2,4,129,1,2,2,7,2,5,1,,2,5,,,0,7,,,,
"0103010020413901","01030100204139","01030100204",1,1425.53918457031,1,3,1,2,4,139,1,2,1,,1,,1,,2,4,,,0,6,0,12,13,25
"0103010020414801","01030100204148","01030100204",1,1425.53918457031,1,3,1,2,4,148,1,2,2,7,2,5,1,,1,,,,0,5,,,,
"0103010020415701","01030100204157","01030100204",1,1425.53918457031,1,3,1,2,4,157,1,2,1,,1,,2,2,1,,2,,1,2,0,25,12,37
"0103030060500201","01030300605002","01030300605",1,2626.85595703125,1,3,3,6,5,2,1,1,1,,2,2,1,,2,1,1,,1,2,25,0,25,25
"0103030060501401","01030300605014","01030300605",1,2626.85595703125,1,3,3,6,5,14,1,1,1,,1,,1,,2,1,1,,1,2,0,0,50,50
"0103030060502701","01030300605027","01030300605",1,2626.85595703125,1,3,3,6,5,27,1,1,1,,2,2,1,,2,1,2,,0,6,50,50,0,50
"0103030060504001","01030300605040","01030300605",1,2626.85595703125,1,3,3,6,5,40,1,1,1,,1,,1,,1,,1,,1,2,0,0,50,50
"0103030060505201","01030300605052","01030300605",1,2626.85595703125,1,3,3,6,5,52,1,2,2,7,2,5,2,2,2,5,,,0,7,,,,
"0103030060506601","01030300605066","01030300605",1,2626.85595703125,1,3,3,6,5,66,1,1,1,,1,,1,,2,1,5,6,2,,0,50,0,50
"0103030060507801","01030300605078","01030300605",1,2626.85595703125,1,3,3,6,5,78,1,1,1,,1,,1,,2,1,1,,2,,0,0,50,50
"0103030060510701","01030300605107","01030300605",1,2626.85595703125,1,3,3,6,5,107,1,2,2,7,2,5,2,2,2,,,,0,7,,,,
"0103030060511901","01030300605119","01030300605",1,2626.85595703125,1,3,3,6,5,119,1,1,1,,1,,1,,1,,1,,0,6,0,0,25,25
"0103030060513101","01030300605131","01030300605",1,2626.85595703125,1,3,3,6,5,131,1,1,2,3,2,2,2,2,2,1,,,1,2,,,,
"0103040010100101","01030400101001","01030400101",1,2422.92724609375,1,3,4,1,1,1,1,1,1,,1,,1,,1,,1,,2,,124,62,62,124
"0103040010101401","01030400101014","01030400101",1,2422.92724609375,1,3,4,1,1,14,1,1,1,,1,,1,,1,,1,,2,,124,62,62,124
"0103040010102701","01030400101027","01030400101",1,2422.92724609375,1,3,4,1,1,27,1,1,1,,1,,1,,1,,1,,2,,112,112,100,112
"0103040010104001","01030400101040","01030400101",1,2422.92724609375,1,3,4,1,1,40,1,1,2,6,1,,1,,1,,,,2,,,,,
"0103040010105401","01030400101054","01030400101",1,2422.92724609375,1,3,4,1,1,54,1,1,1,,1,,1,,1,,1,,2,,100,50,50,100
"0103040010106701","01030400101067","01030400101",1,2422.92724609375,1,3,4,1,1,67,1,1,1,,1,,1,,1,,1,,2,,36,12,24,36
"0103040010108501","01030400101085","01030400101",1,2422.92724609375,1,3,4,1,1,85,1,1,1,,1,,2,2,1,,1,,2,,50,25,25,50
"0103040010110401","01030400101104","01030400101",1,2422.92724609375,1,3,4,1,1,104,1,1,1,,1,,1,,1,,1,,2,,50,25,25,50
"0103040010112001","01030400101120","01030400101",1,2422.92724609375,1,3,4,1,1,120,1,1,1,,1,,1,,1,,1,,2,,150,100,50,150
"0103040010113501","01030400101135","01030400101",1,2422.92724609375,1,3,4,1,1,135,1,1,1,,1,,1,,1,,1,,2,,100,50,50,100
"0103050120200101","01030501202001","01030501202",1,2389.9775390625,1,3,5,12,2,1,1,1,1,,1,,1,,1,,2,,1,2,61,33,28,
"0103050120202201","01030501202022","01030501202",1,2389.9775390625,1,3,5,12,2,22,1,1,1,,1,,1,,1,,2,,0,7,30,8,22,
"0103050120203601","01030501202036","01030501202",1,2389.9775390625,1,3,5,12,2,36,1,1,1,,1,,1,,1,,2,,1,2,100,50,50,
"0103050120204301","01030501202043","01030501202",1,2389.9775390625,1,3,5,12,2,43,1,1,1,,1,,1,,1,,2,,0,,121,70,52,
"0103050120206501","01030501202065","01030501202",1,2389.9775390625,1,3,5,12,2,65,1,1,1,,1,,1,,1,,2,,2,,100,50,50,
"0103050120208601","01030501202086","01030501202",1,2389.9775390625,1,3,5,12,2,86,1,1,1,,1,,1,,1,,2,,2,,100,50,50,
"0103050120210701","01030501202107","01030501202",1,2389.9775390625,1,3,5,12,2,107,1,1,2,2,2,5,2,2,1,,5,,0,6,,,,
"0103050120210702","01030501202107","01030501202",1,2389.9775390625,1,3,5,12,2,107,2,,,,,,1,,1,,2,,1,2,50,25,25,
"0103050120213001","01030501202130","01030501202",1,2389.9775390625,1,3,5,12,2,130,1,1,1,,1,,1,,1,,2,,0,7,100,50,50,
"0103050120215201","01030501202152","01030501202",1,2389.9775390625,1,3,5,12,2,152,1,1,1,,1,,1,,1,,2,,1,2,50,25,25,
"0103050120217401","01030501202174","01030501202",1,2389.9775390625,1,3,5,12,2,174,1,1,1,,1,,1,,1,,2,,1,2,125,50,75,
"0103060060800101","01030600608001","01030600608",1,1613.58532714844,1,3,6,6,8,1,1,1,1,,1,,1,,1,,1,,1,2,0,13,30,43
"0103060060802101","01030600608021","01030600608",1,1613.58532714844,1,3,6,6,8,21,1,2,1,,2,5,1,,1,,2,,0,6,0,8,7,15
"0103060060804301","01030600608043","01030600608",1,1613.58532714844,1,3,6,6,8,43,1,1,2,2,2,4,1,,2,2,,,0,6,,,,
"0103060060806201","01030600608062","01030600608",1,1613.58532714844,1,3,6,6,8,62,1,1,2,2,2,5,1,,2,5,,,0,6,,,,
"0103060060808801","01030600608088","01030600608",1,1613.58532714844,1,3,6,6,8,88,1,1,1,,1,,1,,1,,1,,2,,0,10,20,30
"0103060060811201","01030600608112","01030600608",1,1613.58532714844,1,3,6,6,8,112,1,1,1,,1,,2,2,2,2,,,1,2,0,20,20,40
"0103060060813301","01030600608133","01030600608",1,1613.58532714844,1,3,6,6,8,133,1,1,1,,1,,1,,1,,2,,2,,0,5,5,10
"0103060060815201","01030600608152","01030600608",1,1613.58532714844,1,3,6,6,8,152,1,1,1,,1,,2,2,1,,1,,1,2,0,25,20,45
"0103060060817401","01030600608174","01030600608",1,1613.58532714844,1,3,6,6,8,174,1,1,1,,1,,1,,2,1,,,1,2,0,25,25,50
"0103060060819601","01030600608196","01030600608",1,1613.58532714844,1,3,6,6,8,196,1,1,1,,1,,1,,1,,1,,0,6,0,20,20,40
"0103070011600401","01030700116004","01030700116",0,1268.06896972656,1,3,7,1,16,4,1,,,,,,2,6,2,5,,,,,,,,
"0103070011601601","01030700116016","01030700116",0,1268.06896972656,1,3,7,1,16,16,1,1,2,3,2,6,2,2,2,5,5,,0,1,,,,
"0103070011604001","01030700116040","01030700116",0,1268.06896972656,1,3,7,1,16,40,1,1,2,7,2,8,2,6,2,5,,,0,1,,,,
"0103070011605201","01030700116052","01030700116",0,1268.06896972656,1,3,7,1,16,52,1,1,2,1,2,1,2,6,2,5,5,,0,6,,,,
"0103070011606401","01030700116064","01030700116",0,1268.06896972656,1,3,7,1,16,64,1,1,1,,1,,2,6,1,,1,,0,1,50,25,25,
"0103070011607601","01030700116076","01030700116",0,1268.06896972656,1,3,7,1,16,76,1,,,,,,2,6,1,,,,,,,,,
