holder_id,household_id,household_id2,ea_id,ea_id2,rural,pw2,saq01,saq02,saq03,saq04,saq05,saq06,pp_saq07,pp_s7q01,pp_s7q02,pp_s7q03,pp_s7q03_other,pp_s7q04,pp_s7q05,pp_s7q05_other,pp_s7q06,pp_s7q07,pp_s7q07_other,pp_s7q08,pp_s7q09,pp_s7q09_other,pp_s7q10_a,pp_s7q10_a_other,pp_s7q10_b,pp_s7q11,pp_s7q12,pp_s7q12_other,pp_s7q13,pp_s7q14,pp_s7q15,pp_s7q16a,pp_s7q16b,pp_s7q17,pp_s7q18_a,pp_s7q18_b,pp_s7q19,pp_s7q20_a,pp_s7q20_b,pp_s7q20_c,pp_s7q21,pp_s7q22,pp_s7q23_a,pp_s7q23_b,hh_saq01,hh_saq02,hh_saq03,hh_saq04,hh_saq05,hh_saq06,hh_saq07,hh_saq08
0101020140300101,01010201403001,010102088801403001,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,1,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,4,,,225,175,50,175,50,Yes,Yekatit,2005,20,Trenches,Bridge construction,Conservation activities,1,1,BEAKEBABI ALTELEMEDEM,YEBET SRA SLALEW,Tigray,1,2,8,88,14,3,1
0101020140301101,01010201403011,010102088801403011,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,11,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,1,By Pairing Mine with Someone's Ox,,100,100,0,100,0,No,,,,,,,1,1,,,Tigray,1,2,8,88,14,3,11
0101020140301601,01010201403016,010102088801403016,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,16,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,160,110,50,110,50,Yes,Yekatit,2005,20,Conservation activities,Trenches,Bridge construction,1,1,BEAKEBABIW ALTELEMEDEM,YEBET SRA SLALEW,Tigray,1,2,8,88,14,3,16
0101020140302601,01010201403026,010102088801403026,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,26,1,Yes,No,Lack of Money,,Yes,,,No,Unable to Pay the Loan,,Yes,,,Never Used Fertilizer,,,0,By Renting Ox,,0,0,0,0,0,No,,,,,,,1,1,,,Tigray,1,2,8,88,14,3,26
0101020140303101,01010201403031,010102088801403031,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,31,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,3,,,224,145,79,145,79,Yes,Yekatit,2005,20,Trenches,Bridge construction,Conservation activities,1,1,YEBET SRA SLALEW,LJOCH SLEMINKEBAKEB,Tigray,1,2,8,88,14,3,31
0101020140303601,01010201403036,010102088801403036,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,36,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,180,100,94,100,94,Yes,Yekatit,2005,20,Trenches,Conservation activities,Bridge construction,1,1,YEBET WST SRA SLEMIBEZA,LJOCH YEMNKEBAKEB HALFINET,Tigray,1,2,8,88,14,3,36
0101020140304601,01010201403046,010102088801403046,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,46,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,4,,,150,150,0,150,0,Yes,Yekatit,2005,20,Trenches,Bridge construction,Conservation activities,1,1,YEBET SRA SLALEW,YELJOCH MENKEBAKEB SRA SLALEW,Tigray,1,2,8,88,14,3,46
0101020140306101,01010201403061,010102088801403061,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,61,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,4,,,175,150,25,150,25,Yes,Yekatit,2002,20,Trenches,Bridge construction,Conservation activities,1,1,YEBET SRA SLALEW,BZU SRA SLALEW,Tigray,1,2,8,88,14,3,61
0101020140309101,01010201403091,010102088801403091,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,91,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,135,135,0,135,0,Yes,Yekatit,2005,20,Conservation activities,Trenches,Bridge construction,1,1,YEBET SRA SLALEW,BEAKEBABIW ALTELEMEDEM,Tigray,1,2,8,88,14,3,91
0101020140310601,01010201403106,010102088801403106,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,106,1,Yes,No,Lack of Money,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,182,121,56,121,56,Yes,Yekatit,2005,20,Trenches,Bridge construction,Conservation activities,1,1,LJOCH SLEMNKEBAKEB,YEBET SRA SLEMIBEZA,Tigray,1,2,8,88,14,3,106
0101020140312101,01010201403121,010102088801403121,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,121,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,314,234,93,234,93,Yes,,2005,20,Trenches,Bridge construction,,1,1,YEBET SRA SLALEW,BEAKEBABIW ALTELEMEDEM,Tigray,1,2,8,88,14,3,121
0101020140313601,01010201403136,010102088801403136,01010201403,010102088801403,Rural,2546.43603515625,Tigray,1,2,14,3,136,1,Yes,No,Lack of Money,,No,Lack of Money,,No,Unable to Pay the Loan,,Yes,,,Never Used Fertilizer,,,0,Other (Specify),USING BORROWED OXEN,0,0,0,0,0,No,,,,,,,1,,,,Tigray,1,2,8,88,14,3,136
0101030010600401,01010300106004,010103010100106004,01010300106,010103010100106,Small town (urban),1170.740234375,Tigray,1,3,1,6,4,1,No,No,Other Specify,DOUBT ON USEFULNESS,No,Lack of Adequate Crop Field,,No,Non-Availability of the Service,,No,Other Specify,I don't need the advisory services,Never Used Fertilizer,,,0,Digging,,0,0,0,0,0,No,,,,,,,1,1,YEBET WST SRA,,Tigray,1,3,1,1,1,6,4
0101030010605201,01010300106052,010103010100106052,01010300106,010103010100106,Small town (urban),1170.740234375,Tigray,1,3,1,6,52,1,No,No,Other Specify,DOUBT ON USEFULNESS,No,Lack of Adequate Crop Field,,No,Unable to Pay the Loan,,No,Non-Availability of the Service,,Never Used Fertilizer,,,0,Digging,,0,0,0,0,0,No,,,,,,,1,,,,Tigray,1,3,1,1,1,6,52
0101030010607602,01010300106076,010103010100106076,01010300106,010103010100106,Small town (urban),1170.740234375,Tigray,1,3,1,6,76,2,No,No,Other Specify,DOUBT ON USEFULNESS,No,Lack of Adequate Crop Field,,No,Other Specify,Because I don't need credit,No,Non-Availability of the Service,,Never Used Fertilizer,,,0,Digging,,0,0,0,0,0,No,,,,,,,,,,,Tigray,1,3,1,1,1,6,76
0101030010611201,01010300106112,010103010100106112,01010300106,010103010100106,Small town (urban),1170.740234375,Tigray,1,3,1,6,112,1,Yes,No,Ignorance,,No,Lack of Adequate Crop Field,,No,Other Specify,Because I don't need credit,No,Non-Availability of the Service,,Never Used Fertilizer,,,0,Digging,,0,0,0,0,0,No,,,,,,,1,,YEBET SRA SLELELEW,LELA SRA SLALEW,Tigray,1,3,1,1,1,6,112
0101030010613601,01010300106136,010103010100106136,01010300106,010103010100106,Small town (urban),1170.740234375,Tigray,1,3,1,6,136,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,0,By Renting Ox,,50,25,25,25,25,Yes,Yekatit,2004,20,Conservation activities,Trenches,Stone terracing,2,1,,,Tigray,1,3,1,1,1,6,136
0101030180400401,01010301804004,010103088801804004,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,4,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,1,Other (Specify),USING HORSE OR COW,75,38,38,38,38,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,1,lj bemenkebakeb,yebiet wust sra bzat,Tigray,1,3,8,88,18,4,4
0101030180401901,01010301804019,010103088801804019,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,19,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,0,Other (Specify),USING BORROWED OXEN,50,25,25,13,13,Yes,Megabit,1996,20,Terracing,Conservation activities,Trenches,2,,shmagle negn,,Tigray,1,3,8,88,18,4,19
0101030180403401,01010301804034,010103088801804034,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,34,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,0,By Renting Ox,,50,25,25,25,25,Yes,Yekatit,2005,20,Terracing,Conservation activities,,2,2,ERJENA,,Tigray,1,3,8,88,18,4,34
0101030180404901,01010301804049,010103088801804049,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,49,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,0,Other (Specify),USING BORROWED OXEN,50,25,25,25,25,Yes,Yekatit,2005,15,Terracing,Conservation activities,,1,1,,,Tigray,1,3,8,88,18,4,49
0101030180406901,01010301804069,010103088801804069,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,69,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,0,Other (Specify),USING BORROWED OXEN,50,25,25,25,25,Yes,Yekatit,1990,20,Terracing,Conservation activities,,1,1,,,Tigray,1,3,8,88,18,4,69
0101030180408501,01010301804085,010103088801804085,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,85,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,2,,,50,25,25,25,25,Yes,Yekatit,2005,20,Terracing,Conservation activities,Bridge construction,1,1,lej menkebakeb,ybet west sera,Tigray,1,3,8,88,18,4,85
0101030180410001,01010301804100,010103088801804100,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,100,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,1,By Pairing Mine with Someone's Ox,,50,25,25,25,25,Yes,Yekatit,2001,40,Terracing,Conservation activities,Trenches,2,2,shmaglie negn,,Tigray,1,3,8,88,18,4,100
0101030180411501,01010301804115,010103088801804115,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,115,1,Yes,No,Lack of Money,,Yes,,,No,Unable to Pay the Loan,,Yes,,,Other (Specify),From Cooperatives,,2,,,0,0,0,0,0,Yes,Yekatit,2005,20,Terracing,Conservation activities,,3,3,YBET WEST SERA MEBZAT,LEJ MENKEBAKEB,Tigray,1,3,8,88,18,4,115
0101030180413001,01010301804130,010103088801804130,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,130,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,2,,,50,25,25,24,24,Yes,Yekatit,2001,20,Terracing,Conservation activities,,1,1,lej menkebakeb,ybet west sera,Tigray,1,3,8,88,18,4,130
0101030180414501,01010301804145,010103088801804145,01010301804,010103088801804,Rural,3461.03173828125,Tigray,1,3,18,4,145,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Private Organization,,,2,,,50,25,25,25,25,Yes,Yekatit,2005,20,Trenches,Terracing,,1,1,yebiet wust sra slemibezat,lj menkebakeb,Tigray,1,3,8,88,18,4,145
0101050020400101,01010500204001,010105088800204001,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,1,1,Yes,Yes,,,Yes,,,No,Unable to Pay the Loan,,Yes,,,Governement Organization,,,2,,,50,50,0,50,0,Yes,Yekatit,2005,5,Terracing,Conservation activities,Stone terracing,1,1,betelemdo wend yale siet athiedm,yebiet sra sle alat,Tigray,1,5,8,88,2,4,1
0101050020402501,01010500204025,010105088800204025,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,25,1,Yes,No,Lack of Money,,Yes,,,No,Other Specify,Because I don't need credit,Yes,,,Private Organization,,,2,,,0,0,0,0,0,Yes,Yekatit,2006,15,Terracing,Trenches,,1,1,,,Tigray,1,5,8,88,2,4,25
0101050020404901,01010500204049,010105088800204049,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,49,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,50,50,0,50,0,Yes,Megabit,2005,20,Terracing,Conservation activities,Stone terracing,1,1,WEND EYAL SET ATEGEZAM,,Tigray,1,5,8,88,2,4,49
0101050020407301,01010500204073,010105088800204073,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,73,1,Yes,Yes,,,Yes,,,No,Unable to Pay the Loan,,Yes,,,Governement Organization,,,2,,,50,50,0,50,0,Yes,Yekatit,2005,1,Terracing,Conservation activities,Stone terracing,1,1,YBET SERA SELALAT,WEND EYALE SET ATEHEDEM,Tigray,1,5,8,88,2,4,73
0101050020409701,01010500204097,010105088800204097,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,97,1,Yes,Yes,,,Yes,,,No,Ignorance,,Yes,,,Governement Organization,,,2,,,100,50,50,50,50,No,,,,,,,1,1,betelemdo wend ayale siet athiedm,,Tigray,1,5,8,88,2,4,97
0101050020412101,01010500204121,010105088800204121,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,121,1,Yes,Yes,,,Yes,,,No,Ignorance,,Yes,,,Governement Organization,,,2,,,75,50,25,50,25,Yes,Yekatit,2005,30,Terracing,Conservation activities,Stone terracing,1,1,wedn yale siet athiedm,yebiet sra slalgn,Tigray,1,5,8,88,2,4,121
0101050020414501,01010500204145,010105088800204145,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,145,1,Yes,Yes,,,Yes,,,No,Unable to Pay the Loan,,Yes,,,Governement Organization,,,0,By Pairing Mine with Someone's Ox,,25,25,0,25,0,No,,,,,,,1,1,wend yale siet athedm,yebiet sra sle alat,Tigray,1,5,8,88,2,4,145
0101050020416901,01010500204169,010105088800204169,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,169,1,Yes,Yes,,,Yes,,,No,Unable to Pay the Loan,,Yes,,,Governement Organization,,,2,,,50,50,0,50,0,Yes,Yekatit,2006,3,Terracing,Conservation activities,Stone terracing,1,1,WEND EYAL SET ATEGEZAM,YBET SERA SELALAT,Tigray,1,5,8,88,2,4,169
0101050020419301,01010500204193,010105088800204193,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,193,1,Yes,No,Skeptical of the Outcome,,No,Other Specify,Ignorance,No,Ignorance,,No,Ignorance,,Never Used Fertilizer,,,1,By Pairing Mine with Someone's Ox,,0,0,0,0,0,Yes,Yekatit,2005,10,Terracing,Conservation activities,Stone terracing,1,1,wend  nayale siet atseram,yebiet sra sel alat,Tigray,1,5,8,88,2,4,193
0101050020421701,01010500204217,010105088800204217,01010500204,010105088800204,Rural,3178.43115234375,Tigray,1,5,2,4,217,1,Yes,Yes,,,Yes,,,No,Unable to Pay the Loan,,Yes,,,Governement Organization,,,1,By Pairing Mine with Someone's Ox,,50,0,50,0,50,Yes,Yekatit,2005,3,Terracing,Conservation activities,Stone terracing,1,1,betelemdo wend ayale siet atseram,yebiet sra sle alat,Tigray,1,5,8,88,2,4,217
0101060040200201,01010600402002,010106088800402002,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,2,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,0,By Renting Ox,,100,50,50,50,50,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,1,,,Tigray,1,6,8,88,4,2,2
0101060040201401,01010600402014,010106088800402014,01010600402,010106088800402,Rural,223.5212707519531,Tigray,1,6,4,2,14,1,No,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,25,13,13,13,13,Yes,Tir,2005,20,Terracing,Conservation activities,,1,,,,Tigray,1,6,8,88,4,2,14
0101060040202101,01010600402021,010106088800402021,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,21,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,3,,,200,100,100,100,100,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,1,yebiet sra slalat,,Tigray,1,6,8,88,4,2,21
0101060040203901,01010600402039,010106088800402039,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,39,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,100,50,50,50,50,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,1,ye bet sra sle mibezabat,sle matchl,Tigray,1,6,8,88,4,2,39
0101060040205701,01010600402057,010106088800402057,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,57,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,100,50,50,50,50,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,1,SRA SLE MIZABET,,Tigray,1,6,8,88,4,2,57
0101060040207501,01010600402075,010106088800402075,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,75,1,Yes,Yes,,,Yes,,,No,Unable to Pay the Loan,,Yes,,,Governement Organization,,,1,By Renting Ox,,0,50,0,50,0,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,1,yebiet sra slemtsera,,Tigray,1,6,8,88,4,2,75
0101060040209401,01010600402094,010106088800402094,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,94,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,50,25,25,25,25,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,1,yebiet sra sele mibeza,slmatchl,Tigray,1,6,8,88,4,2,94
0101060040211201,01010600402112,010106088800402112,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,112,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,100,50,50,50,50,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,1,bezih akababi slaltelemede,,Tigray,1,6,8,88,4,2,112
0101060040213001,01010600402130,010106088800402130,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,130,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,150,75,75,75,75,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,1,YE BET SRA SLALAT,,Tigray,1,6,8,88,4,2,130
0101060040214801,01010600402148,010106088800402148,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,148,1,Yes,No,Skeptical of the Outcome,,No,Ignorance,,No,Unable to Pay the Loan,,Yes,,,Never Used Fertilizer,,,2,,,0,0,0,0,0,Yes,Yekatit,2005,20,Conservation activities,Stone terracing,,1,,yebiet sra sle mibezat,ljoch lttebk,Tigray,1,6,8,88,4,2,148
0101060040216001,01010600402160,010106088800402160,01010600402,010106088800402,Rural,223.5212707519531,Tigray,1,6,4,2,160,1,Yes,No,Lack of Money,,No,Lack of Adequate Crop Field,,No,Unable to Pay the Loan,,Yes,,,Never Used Fertilizer,,,0,By Renting Ox,,0,0,0,0,0,Yes,Yekatit,2005,20,Terracing,Conservation activities,,1,2,,,Tigray,1,6,8,88,4,2,160
0101060040216701,01010600402167,010106088800402167,01010600402,010106088800402,Rural,2831.26953125,Tigray,1,6,4,2,167,1,Yes,No,High Price,,No,Ignorance,,No,Unable to Pay the Loan,,Yes,,,Governement Organization,,,0,By Renting Ox,,0,0,0,0,0,No,,,,,,,1,1,,,Tigray,1,6,8,88,4,2,167
0101070011615001,,010107010100116150,,010107010100116,Large town (urban),3482.377197265625,Tigray,1,7,1,16,150,1,No,No,Other Specify,DOUBT ON USEFULNESS,No,Lack of Adequate Crop Field,,No,Unable to Pay the Loan,,Yes,,,Never Used Fertilizer,,,0,By Renting Ox,,0,0,0,0,0,No,,,,,,,1,1,yebiet sra slemibezache,yeakm manes,Tigray,1,7,1,1,1,16,150
0102010020700201,01020100207002,010201088800207002,01020100207,010201088800207,Rural,3083.032958984375,Tigray,2,1,2,7,2,1,Yes,No,Lack of Money,,No,Lack of Money,,Yes,,,No,Ignorance,,Governement Organization,,,1,By Pairing Mine with Someone's Ox,,0,0,0,0,0,Yes,Nehassie,2005,24,Tree planting,Conservation activities,Road construction,1,1,YEBET SRA BZAT,YEBOTA RQET,Tigray,2,1,8,88,2,7,2
0102010020701201,01020100207012,010201088800207012,01020100207,010201088800207,Rural,3083.032958984375,Tigray,2,1,2,7,12,1,No,No,Other Specify,BECAUSE IDON'T HAVE FARM LAND/I AM NOT FARMING,No,Lack of Adequate Crop Field,,No,Unable to Pay the Loan,,No,Other Specify,Because I am not caltivating any land,Never Used Fertilizer,,,0,,,0,0,0,0,0,No,,,,,,,1,1,YEBET SRA MEBZAT,YEBOTAW RQET,Tigray,2,1,8,88,2,7,12
0102010020701701,01020100207017,010201088800207017,01020100207,010201088800207,Rural,3083.032958984375,Tigray,2,1,2,7,17,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,25,25,0,20,0,Yes,Hamle,2005,25,Tree planting,Wire mesh (Gabiyon ),Conservation activities,1,1,BESRA MEBZAT,,Tigray,2,1,8,88,2,7,17
0102010020702701,01020100207027,010201088800207027,01020100207,010201088800207,Rural,3083.032958984375,Tigray,2,1,2,7,27,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,50,50,0,50,0,Yes,Hamle,2005,20,Wire mesh (Gabiyon ),Tree planting,,1,1,YECHLOTA CHGR SLALE,,Tigray,2,1,8,88,2,7,27
0102010020704701,01020100207047,010201088800207047,01020100207,010201088800207,Rural,3083.032958984375,Tigray,2,1,2,7,47,1,Yes,No,Lack of Money,,No,Lack of Money,,Yes,,,Yes,,,Never Used Fertilizer,,,2,,,0,0,0,0,0,No,,,,,,,1,1,YEBET WAT SRA SLEMISERU,,Tigray,2,1,8,88,2,7,47
0102010020706201,01020100207062,010201088800207062,01020100207,010201088800207,Rural,3083.032958984375,Tigray,2,1,2,7,62,1,Yes,No,Lack of Money,,No,Lack of Money,,No,Unable to Pay the Loan,,No,Other Specify,I don't need the advisory services,Never Used Fertilizer,,,1,By Pairing Mine with Someone's Ox,,0,0,0,0,0,No,,,,,,,1,1,BEBETESEBACHN WST SET YELECHM,,Tigray,2,1,8,88,2,7,62
0102010020707701,01020100207077,010201088800207077,01020100207,010201088800207,Rural,3083.032958984375,Tigray,2,1,2,7,77,1,No,No,Other Specify,BECAUSE IDON'T HAVE FARM LAND/I AM NOT FARMING,No,Other Specify,Because I don't have farm land currently under my operation,No,Other Specify,Because I don't need credit,No,Other Specify,Because I am not caltivating any land,Never Used Fertilizer,,,,,,0,0,0,0,0,No,,,,,,,,,,,Tigray,2,1,8,88,2,7,77
0102010020709201,01020100207092,010201088800207092,01020100207,010201088800207,Rural,3083.032958984375,Tigray,2,1,2,7,92,1,Yes,Yes,,,Yes,,,No,Inadequate Service Provided,,No,Inadequate Services Provided,,Merchants,,,2,,,12,12,0,12,0,No,,,,,,,1,2,,,Tigray,2,1,8,88,2,7,92
0102010020710701,01020100207107,010201088800207107,01020100207,010201088800207,Rural,3083.032958984375,Tigray,2,1,2,7,107,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,2,,,25,25,0,25,0,No,,,,,,,1,1,YEBET WST SLEMSERA,WEND AYALE SET MEGZAT ATCHLM,Tigray,2,1,8,88,2,7,107
